time dist
0.0998649 0.0327809
0.299879 0.0590165
0.500006 0.0740764
0.749883 0.0772367
0.900006 0.0805588
1.09987 0.0834614
1.29988 0.0869799
1.49988 0.0918776
1.6999 0.0936907
1.89987 0.097399
2.10001 0.101084
2.29999 0.10983
2.49986 0.124574
2.69997 0.135759
2.94989 0.155252
3.09988 0.168535
3.29997 0.188636
3.54984 0.20445
3.70001 0.215834
3.89982 0.229404
4.14989 0.251153
4.29989 0.260683
4.49989 0.266021
4.74989 0.285814
4.89989 0.294273
5.09983 0.301479
5.34983 0.313968
5.54988 0.32462
5.74984 0.328312
5.94987 0.33761
6.14985 0.347958
6.34985 0.371695
6.54988 0.446867
6.74987 0.579527
6.94987 0.758827
7.14987 0.985926
7.34984 1.25501
7.54983 1.54948
7.74986 1.82997
7.94987 2.10433
8.14988 2.368
8.34985 2.62923
8.54989 2.89373
8.74989 3.1205
8.94996 3.34222
9.14988 3.58723
9.34983 3.88088
9.54999 4.12797
9.74999 4.40427
9.99983 4.67459
10.1499 4.93567
10.3499 5.14427
10.5999 5.34741
10.75 5.56453
11 5.80594
11.1999 5.99534
11.3999 6.11083
11.5999 6.17309
11.7999 6.18397
11.9999 6.20074
12.2 6.20918
12.3999 6.25052
12.5999 6.34853
12.8 6.50266
12.9999 6.7136
13.1999 6.97921
13.3999 7.24996
13.6 7.48851
13.7999 7.65993
14 7.75465
14.2499 7.79015
14.4499 7.80204
14.65 7.81258
14.8499 7.81752
14.9998 7.87582
15.2499 7.93073
15.4499 7.96733
15.5998 7.97216
15.8498 7.97704
16.0498 7.98152
16.2498 8.00922
16.4498 8.0596
16.6498 8.09723
16.8499 8.17854
17.0499 8.30998
17.25 8.49455
17.4999 8.74673
17.6498 9.00836
17.8498 9.23307
18.0498 9.40052
18.2498 9.56167
18.4998 9.76951
18.6499 10.0139
18.8499 10.2663
19.0999 10.4927
19.2499 10.6725
19.45 10.7921
19.7 10.8786
19.8498 10.9952
20.0499 11.1734
20.3 11.4007
20.4999 11.676
20.6998 11.9559
20.8999 12.2158
21.0999 12.4236
