dist plan_Interval
0 1.2545e-05
7.80204 0.914009
15.1334 1.49077
24.3032 2.05014
33.5533 1.87518
41.7049 1.89596
49.5777 1.53056
58.7241 1.48867
66.9723 1.86207
75.5123 1.97602
84.3219 1.993
92.3049 1.92802
100.252 1.7287
105.51 1.64342
113.46 1.62591
121.043 1.60358
128.916 1.78216
138.186 1.35398
145.842 1.47035
153.43 1.29519
158.975 1.5228
159.581 1.63958
161.286 6.03937
169.704 1.2738
177.031 1.60715
184.984 1.76477
192.907 10.5271
293.164 1.59532
300.682 1.2255
309.245 1.76982
317.31 1.40754
324.145 1.59176
332.558 1.58269
345.013 1.78339
353.389 2.06969
363.2 1.817
370.492 1.73665
379.148 1.96425
386.205 2.15934
393.172 2.15043
401.311 2.25137
407.079 2.26609
419.384 2.28663
427.292 2.33976
436.675 2.31556
444.452 1.99668
451.541 1.99795
459.071 1.26875
467.93 1.56254
475.842 1.66102
487.497 1.73929
496.063 1.74489
503.971 1.76882
512.53 1.89552
520.298 2.13078
529.017 1.82581
538.394 1.77828
546.757 1.85061
555.855 1.90457
565.784 1.86512
573.905 2.07202
582.529 2.16537
590.99 1.89273
600.973 2.2538
609.072 2.08517
617.379 1.785
626.082 1.86639
633.574 1.89348
642.935 2.07923
650.423 1.72592
658.39 1.59312
667.239 1.88864
677.053 1.67043
685.913 1.8217
694.281 1.94328
703.787 1.93229
712.492 1.83133
720.88 1.82214
728.297 11.7967
872.317 6.74697
904.416 1.79429
912.666 1.77991
920.147 1.62625
929.635 1.7445
934.212 1.21143
940.087 1.85569
954.704 1.76
962.712 1.92824
969.489 2.13856
979.252 2.3291
987.821 2.20152
996.135 2.24115
1003.52 2.13565
1011.17 2.06064
1017.36 1.77083
1025.28 2.36098
1033.67 1.68738
1040.48 1.25633
1047.85 1.38841
1055.72 1.68419
1062.79 1.59041
1069.51 1.71362
1077.89 2.11665
1086.36 2.1916
1095.27 10.5903
1211.21 1.29595
1220.68 2.85371
1228.56 2.16463
1236.15 1.7405
1244.32 3.34141
1252.5 1.59888
1259.96 6.69894
1299.26 9.30394
1314.78 7.43443
1327.94 3.45995
1337.53 12.2016
1347.15 3.34938
1356.66 3.19953
1372.71 16.903
1518.51 7.39646
1534.73 15.672
1544.79 4.85578
1548.66 2.39823
