dist localplan_Interval
10.2401 1.23635
22.4728 0.927101
33.4989 1.54553
44.726 1.685
56.8093 1.67147
68.3232 1.47833
79.2045 0.958096
89.6348 1.2412
100.216 0.630315
110.86 1.46227
121.366 0.735576
130.671 0.544635
141.623 1.32179
148.817 0.736413
158.772 0.484255
168.09 0.596965
178.932 0.847469
190.205 1.0691
201.293 1.45219
212.072 1.18962
221.941 0.593489
233.229 0.968508
243.403 0.956511
254.002 1.0137
264.638 1.38833
276.23 1.22434
287.904 1.41628
295.439 0.500341
306.854 1.44366
318.614 1.4795
330.586 1.38271
341.521 1.01467
352.549 0.435742
358.86 0.092568
364.516 1.21586
369.676 0.815277
378.414 0.590769
391.253 0.465918
402.56 1.28405
414.73 1.30611
426.51 1.52359
437.308 1.36177
448.566 1.46753
459.339 1.04991
464.22 0.787245
477.568 1.33293
489.144 1.29567
495.81 1.22826
506.447 1.16043
518.61 1.18453
529.193 0.5491
540.455 0.940728
547.167 1.05688
558.071 1.02686
567.415 0.682274
577.299 0.758833
589.8 0.995855
598.379 0.112716
599.485 1.07645
605.711 0.934328
656.334 1.32596
664.451 1.06062
674.936 1.19797
686.142 1.36996
698.045 1.12312
711.119 1.3122
722.864 1.54899
734.22 1.55069
745.585 1.10357
757.193 1.22919
768.16 1.54106
780.628 1.67511
793.53 1.65554
806.152 1.8486
819.285 1.65434
832.065 1.8214
844.916 0.903848
855.545 1.34015
866.105 1.20294
877.264 1.18339
889.959 1.64565
900.268 1.56133
912.351 1.5443
922.702 1.37669
933.092 1.41917
944.582 1.22592
955.111 1.26271
966.669 1.21883
977.039 1.21382
987.662 1.37393
998.206 1.06767
1009.34 1.16362
1020.15 0.525296
1030.28 1.27986
1041.24 1.08648
1052.28 1.2806
1065.11 1.49643
1075.55 1.46143
1087 1.8013
1098.11 1.15982
1110.53 1.41602
1121.57 1.27397
1133.1 0.868715
1144 1.52735
1153.62 0.557899
1164.89 0.902761
1176.12 1.10639
1185.02 1.09073
1195.71 0.812701
1208.39 1.03731
1220.07 1.01914
1229.95 1.47901
1240.22 0.673883
1250.31 0.885595
1260.73 1.29618
1270.95 0.584625
1281.44 0.786294
1290.39 0.909869
1300.98 0.666953
1310.48 0.51238
1320.17 0.658615
1330.28 0.448137
1337.81 0.383433
