dist plan_Interval
0 0.919834
10.2401 1.26437
22.4728 1.0116
33.4989 1.57621
44.726 1.72601
56.8093 1.71104
68.3232 1.52207
79.2045 1.00052
89.6348 1.29072
100.216 0.704221
111.065 1.52386
121.366 0.809622
130.909 0.597912
141.623 1.37947
148.817 0.793224
158.772 1.17709
168.102 1.615
179.252 1.05838
190.205 2.67803
201.411 1.51081
212.072 1.3419
221.941 0.650368
233.229 1.03003
243.403 1.01245
254.002 1.07341
264.638 1.4733
276.23 1.28778
287.904 1.47461
295.439 0.567652
306.854 1.50505
318.614 1.59063
330.586 1.45276
341.521 1.07192
352.549 0.550005
358.86 0.158514
364.516 1.29162
369.676 0.877122
378.414 0.655343
391.253 0.687652
402.56 1.43684
414.73 1.3672
426.51 1.58737
437.308 1.50747
448.566 1.52765
459.339 1.12509
464.22 0.845875
477.601 1.40099
489.144 1.35955
495.856 1.29641
506.447 1.22811
518.61 1.24693
529.193 0.611419
540.455 1.00317
547.167 1.12476
558.071 1.08788
567.46 0.743729
577.63 0.831187
589.8 1.06384
598.379 0.183842
599.485 1.1489
605.711 1.00967
619.044 4.05994
656.334 1.43875
664.451 1.13707
674.936 1.36629
686.184 1.4496
698.045 1.51156
711.134 1.39332
722.864 1.63918
734.22 1.75338
745.647 1.19213
757.193 1.32402
768.16 1.63165
780.628 1.9713
793.53 1.94162
806.461 1.94314
819.285 1.98354
832.065 1.91493
844.916 1.19319
855.545 1.42773
866.105 1.28599
877.264 1.28472
889.959 1.74613
900.268 1.68852
912.501 1.64494
922.702 1.48826
933.092 1.5295
944.582 1.33777
955.111 1.3938
966.669 1.36795
977.039 1.42791
987.662 1.50969
998.206 1.48022
1009.45 1.31525
1020.15 0.674211
1030.54 1.78584
1041.24 1.22972
1052.28 1.79881
1065.11 1.9036
1075.56 1.90359
1087 2.20873
1098.11 1.55196
1110.53 1.87553
1121.57 1.59305
1133.1 1.11103
1144 1.71615
1153.93 0.7135
1164.89 1.38634
1176.12 1.59023
1185.54 1.57685
1195.71 1.40119
1208.39 1.39145
1220.29 1.1842
1229.95 1.86028
1240.22 0.849549
1250.31 1.47014
1260.73 1.49552
1270.95 0.758325
1281.44 1.08235
1290.7 1.09399
1301.27 0.955001
1310.48 0.711956
1320.17 0.839654
1330.28 0.859439
1338.24 0.928427
1348.49 8.04548
1460.22 9.22237
1489 9.32722
1540.43 10.4148
1551.36 10.2561
1560.79 63.7981
1600.89 121.049
1653.12 121.896
1695.83 125.559
1759.76 130.956
1808.52 124.143
1871.77 124.928
1930.87 127.501
1997.01 134.513
2104.53 133.165
