time dist
-0.573582 0.0151837
0.0315303 0.0214802
0.435033 0.0298789
0.636789 0.0351347
0.838541 0.0529928
1.2419 0.0767437
1.6454 0.122125
2.04876 0.195707
2.45227 0.491616
2.85577 1.03018
3.25913 1.79902
3.86438 2.94653
4.26774 3.63431
4.4695 3.77366
4.67125 3.93081
5.07461 4.42362
5.47811 5.13883
5.88162 5.8818
6.28497 6.56737
6.68848 6.98881
7.09184 7.0648
7.69709 7.21045
8.10045 7.59757
8.30221 7.87356
8.50396 8.20719
8.90747 8.9749
9.31083 9.67238
9.71433 10.0243
10.1177 10.2401
10.5212 10.3252
10.9247 10.5006
11.5298 10.5105
11.9333 10.6984
12.1349 10.8699
12.3367 11.0854
12.7402 11.5035
13.1435 11.7461
13.547 12.1373
13.9505 12.7571
14.5557 13.9007
14.9592 14.3027
15.1608 14.3901
15.3625 14.4221
15.5643 14.4327
16.1694 14.5203
16.5729 14.7366
16.7746 14.9238
16.9764 15.1741
17.3798 15.825
17.7833 16.6284
18.1866 17.2632
18.5901 17.6716
18.9935 17.8709
19.397 17.9231
20.0021 18.2963
20.4056 18.4129
20.6074 18.4718
20.8091 18.5768
21.2125 18.8887
21.616 18.996
22.0193 19.0105
22.4228 19.1784
22.8263 19.3025
23.4314 19.3162
23.8349 19.4707
24.0366 19.6277
24.2383 19.7437
24.6418 19.8618
25.0452 19.9136
25.4487 19.9787
25.8522 19.9944
26.2555 20.047
26.8608 20.3809
27.2642 20.7376
27.4659 20.8003
27.6677 20.8105
28.071 20.882
28.4745 21.1643
28.878 21.6677
29.2814 22.2201
29.6849 22.4235
30.29 22.4728
30.6935 22.4794
30.8953 22.494
31.0969 22.5021
31.5004 22.5216
31.9039 22.5325
32.3072 22.6192
32.9125 23.1468
33.3158 23.6721
33.5176 23.8381
33.7194 23.9116
34.1227 23.9222
34.5262 24.0211
34.9297 24.3171
35.3331 24.8397
35.9383 25.5079
36.3417 25.5433
36.5435 25.5507
36.7452 25.5562
37.1486 25.5664
37.5521 25.57
37.9556 25.5966
38.3589 25.66
38.9642 25.6659
39.3675 25.743
39.771 25.8064
40.1744 25.8389
40.5779 26.0999
40.9814 26.6065
41.3848 27.2999
41.9899 28.4056
42.3934 29.1739
42.5951 29.5779
42.7969 29.9809
43.2003 30.787
43.6038 31.5695
44.0071 32.3092
44.4106 32.8331
45.0157 33.1759
45.4192 33.3554
45.621 33.4989
45.8227 33.6029
46.2261 33.6169
46.6296 33.8148
47.033 34.227
47.4365 34.846
47.84 35.5413
48.4451 36.468
48.8486 36.782
49.0502 36.8021
49.252 36.8184
49.4537 36.8277
50.0588 37.1821
50.4623 37.7086
50.6641 38.0527
50.8658 38.443
51.0674 38.8555
51.6727 40.0963
52.076 40.8696
52.2778 41.1939
52.4796 41.5308
52.8831 42.2859
53.2864 43.0767
53.6899 43.88
54.0933 44.4422
54.4968 44.6518
55.1019 44.726
55.5054 44.9194
55.7072 45.097
55.9089 45.3141
56.3123 45.5918
56.7158 45.6411
57.1191 45.9272
57.5226 46.3975
58.1277 47.0761
58.5312 47.4027
58.733 47.6218
58.9347 47.9107
59.3381 48.6222
59.7416 49.4081
60.145 50.0521
60.5485 50.8528
60.952 51.6733
61.3553 52.4633
61.9606 53.6449
62.364 54.4584
62.5657 54.8504
62.7675 55.2421
63.1708 56.0203
63.5743 56.5028
63.9778 56.6021
64.3812 56.8093
64.7847 57.2242
65.3898 57.6674
65.7933 57.7905
65.9949 57.9418
66.1967 58.139
66.6002 58.686
67.0035 59.3741
67.407 60.0659
67.8105 60.6293
68.2139 61.1166
68.8192 61.7339
69.2225 62.3455
69.4243 62.7357
69.626 63.1539
70.0294 63.9352
70.4329 64.6642
70.8364 65.2497
71.2397 65.9964
71.845 67.2089
72.2484 67.9011
72.4501 68.1315
72.6519 68.2802
73.0552 68.3232
73.4587 68.5496
73.8622 68.7957
74.2656 68.8221
74.8709 69.3439
75.2742 69.9839
75.476 70.3448
75.6777 70.691
76.0811 71.2763
76.4846 71.7604
76.8881 72.1897
77.2914 72.6601
77.695 73.3396
78.3001 74.5124
78.7036 75.2158
78.9053 75.5076
79.1069 75.7163
79.5104 76.1095
79.9139 76.7042
80.3173 77.4799
80.9226 78.6348
81.3259 79.1079
81.5277 79.2045
81.7294 79.2188
82.1328 79.3651
82.5363 79.4195
82.9398 79.4692
83.3431 79.7311
83.7466 80.2176
84.15 80.9014
84.7553 81.5216
85.1586 81.5266
85.3604 81.5375
85.5621 81.5454
85.9656 81.5497
86.369 81.5665
86.7725 81.7155
87.1758 82.0675
87.5794 82.6007
87.9829 83.0938
88.588 83.5922
88.9913 83.6085
89.1931 83.615
89.3948 83.6343
89.7983 83.8379
90.2017 83.9168
90.6052 83.9195
91.0086 84.016
91.6138 84.5958
92.0172 85.2504
92.2189 85.6269
92.4207 86.002
92.8242 86.7324
93.2275 87.5102
93.631 88.2844
94.0344 89.064
94.6397 89.6348
95.043 89.6964
95.2448 89.8046
95.4465 89.9313
95.85 90.2109
96.2534 90.2219
96.6569 90.3672
97.0602 90.7312
97.6655 91.7032
98.0689 92.5047
98.2706 92.9174
98.4724 93.31
98.8759 93.8547
99.2792 94.0167
99.6827 94.0527
100.086 94.3345
100.49 94.8511
101.095 95.9608
101.498 96.6358
101.7 96.8264
101.902 96.9332
102.305 96.9564
102.709 96.9993
103.112 97.077
103.515 97.1308
103.919 97.1414
104.322 97.333
104.928 97.9994
105.331 98.6688
105.533 99.0453
105.734 99.4317
106.138 99.9643
106.541 100.121
106.945 100.15
107.348 100.216
107.752 100.24
108.357 100.429
108.76 100.793
108.962 101.043
109.164 101.324
109.567 101.97
109.971 102.589
110.374 103.165
110.778 103.678
111.383 103.881
111.786 103.918
111.988 103.927
112.189 103.96
112.593 104.092
112.996 104.275
113.4 104.575
113.803 105.023
114.207 105.599
114.812 106.413
115.215 106.88
115.417 107.045
115.619 107.114
115.821 107.116
116.426 107.126
116.829 107.272
117.031 107.42
117.233 107.611
117.636 108.145
118.039 108.84
118.443 109.593
118.846 110.254
119.25 110.641
119.855 110.86
120.258 111.065
120.46 111.16
120.662 111.264
121.065 111.301
121.469 111.427
121.872 111.683
122.276 112.071
122.679 112.647
123.083 113.371
123.688 114.326
124.091 114.771
124.293 115.03
124.495 115.339
124.696 115.701
125.301 116.904
125.705 117.67
125.907 117.974
126.108 118.237
126.512 118.833
126.915 119.509
127.319 119.944
127.722 120.335
128.126 120.736
128.731 121.366
129.134 121.442
129.336 121.505
129.538 121.623
129.941 121.708
130.345 121.713
130.748 121.717
131.151 121.734
131.555 121.742
132.16 121.991
132.564 122.314
132.765 122.535
132.967 122.789
133.37 123.407
133.774 123.886
134.177 123.999
134.581 124.017
135.186 124.047
135.589 124.106
135.791 124.196
135.993 124.34
136.396 124.726
136.8 125.15
137.203 125.719
137.607 126.386
138.01 126.803
138.615 126.872
139.019 126.882
139.22 126.923
139.422 127.003
139.624 127.061
140.229 127.088
140.632 127.116
140.834 127.189
141.036 127.309
141.439 127.696
141.843 128.257
142.246 128.963
142.65 129.724
143.255 130.671
143.658 130.909
143.86 130.919
144.062 130.939
144.465 130.964
144.869 130.985
145.272 131.005
145.676 131.014
146.079 131.037
146.684 131.171
147.088 131.376
147.289 131.539
147.491 131.743
147.693 131.991
148.298 132.953
148.701 133.603
148.903 133.9
149.105 134.101
149.307 134.244
149.912 134.8
150.315 135.353
150.517 135.697
150.719 136.08
151.122 136.878
151.526 137.638
151.929 138.286
152.332 139.07
152.938 140.25
153.341 141.026
153.543 141.314
153.744 141.512
154.148 141.623
154.551 141.825
154.955 142.209
155.56 142.282
155.963 142.529
156.165 142.664
156.367 142.804
156.77 142.924
157.174 143.115
157.577 143.527
157.981 144.129
158.586 144.904
158.989 145.226
159.191 145.267
159.393 145.277
159.796 145.293
160.2 145.367
160.603 145.582
161.006 145.99
161.41 146.554
162.015 147.592
162.419 148.291
162.62 148.573
162.822 148.817
163.024 148.991
163.629 149.003
164.032 149.035
164.234 149.046
164.436 149.066
164.839 149.177
165.243 149.324
165.646 149.685
166.049 150.27
166.453 150.988
167.058 152.052
167.462 152.812
167.663 153.066
167.865 153.29
168.268 153.841
168.672 154.513
169.075 155.22
169.479 155.855
169.882 156.173
170.487 156.243
170.891 156.357
171.093 156.483
171.294 156.664
171.698 157.17
172.101 157.854
172.505 158.485
172.908 158.739
173.513 158.772
173.917 158.815
174.118 158.822
174.32 158.843
174.724 158.858
175.127 158.871
175.531 158.88
175.934 158.895
176.539 159.077
176.943 159.434
177.144 159.701
177.346 160.011
177.75 160.731
178.153 161.41
178.556 161.835
178.96 161.947
179.363 161.962
179.969 162.293
180.372 162.819
180.574 163.171
180.775 163.559
181.179 164.36
181.582 165.053
181.986 165.525
182.389 166.192
182.793 167.015
183.196 167.705
183.801 168.09
184.205 168.102
184.406 168.203
184.608 168.318
185.011 168.444
185.415 168.457
185.818 168.503
186.424 168.555
186.827 168.723
187.029 168.779
187.23 168.801
187.634 169.018
188.037 169.508
188.441 170.271
188.844 171.053
189.449 171.984
189.853 172.339
190.055 172.527
190.256 172.752
190.66 172.997
191.063 173.015
191.467 173.046
191.87 173.076
192.274 173.209
192.879 173.272
193.282 173.285
193.484 173.296
193.686 173.312
194.089 173.406
194.492 173.677
194.896 174.209
195.299 174.756
195.905 175.399
196.308 175.961
196.51 176.275
196.711 176.615
197.115 177.433
197.518 178.263
197.922 178.932
198.325 179.252
198.729 179.274
199.334 179.619
199.737 179.698
199.939 179.702
200.141 179.714
200.544 179.783
200.948 180.077
201.351 180.651
201.755 181.426
202.158 182.194
202.763 183.1
203.167 183.546
203.368 183.844
203.57 184.184
203.974 184.971
204.377 185.656
204.78 186.032
205.184 186.101
205.789 186.175
206.192 186.473
206.394 186.731
206.596 187.06
206.999 187.85
207.403 188.534
207.806 189.096
208.21 189.596
208.613 189.928
209.016 190.052
209.622 190.175
210.025 190.184
210.227 190.195
210.429 190.205
210.63 190.215
211.235 190.409
211.639 190.421
211.841 190.484
212.042 190.609
212.244 190.8
212.849 191.789
213.253 192.587
213.454 192.986
213.656 193.371
213.858 193.752
214.463 194.708
214.867 195.512
215.068 195.933
215.27 196.335
215.673 197.125
216.077 197.81
216.48 198.535
217.085 199.779
217.489 200.573
217.691 200.896
217.892 201.115
218.296 201.293
218.699 201.411
219.103 201.697
219.506 202.038
219.91 202.095
220.515 202.54
220.918 203.102
221.12 203.397
221.322 203.656
221.725 204.064
222.128 204.512
222.532 205.11
222.936 205.593
223.339 206.309
223.742 207.138
224.347 208.299
224.751 208.885
224.953 208.999
225.154 209.061
225.558 209.209
225.961 209.605
226.365 210.276
226.768 211.095
227.172 211.702
227.777 211.962
228.18 211.968
228.382 212.016
228.584 212.072
228.987 212.116
229.391 212.235
229.794 212.281
230.197 212.583
230.601 213.111
231.206 214.079
231.61 214.585
231.811 214.735
232.013 214.911
232.215 215.051
232.82 215.26
233.223 215.318
233.425 215.45
233.627 215.66
234.03 216.298
234.434 217.123
234.837 217.875
235.24 218.449
235.846 219.139
236.249 219.772
236.451 220.165
236.653 220.584
237.056 221.306
237.459 221.687
237.863 221.941
238.266 222.347
238.67 222.58
239.275 222.656
239.678 222.689
239.88 222.729
240.082 222.808
240.485 223.154
240.889 223.621
241.292 224.142
241.696 224.66
242.099 225.186
242.704 225.952
243.108 226.061
243.309 226.067
243.511 226.109
243.915 226.269
244.318 226.544
244.722 227.048
245.125 227.725
245.528 228.454
245.932 228.853
246.537 228.99
246.941 229.286
247.142 229.525
247.344 229.83
247.546 230.18
248.151 231.294
248.554 232.075
248.756 232.463
248.958 232.772
249.361 233.229
249.765 233.334
250.168 233.496
250.571 233.588
250.975 233.599
251.378 233.606
251.984 233.691
252.387 233.907
252.589 234.109
252.79 234.369
253.194 235.055
253.597 235.828
254.001 236.597
254.404 237.184
254.808 237.497
255.413 238.117
255.816 238.809
256.018 239.202
256.22 239.595
256.623 240.154
257.027 240.629
257.43 241.31
257.834 242.135
258.237 242.911
258.64 243.403
259.246 243.496
259.649 243.572
259.851 243.593
260.052 243.599
260.456 243.637
260.859 243.789
261.263 244.091
261.666 244.624
262.07 245.369
262.473 246.189
263.078 247.329
263.482 247.831
263.683 247.917
263.885 247.952
