time localplan_Interval
11.0266 1.23635
30.9096 0.927101
46.1499 1.54553
55.7224 1.685
65.0778 1.67147
73.9551 1.47833
82.1163 0.958096
95.4591 1.2412
107.929 0.630315
120.804 1.46227
129.365 0.735576
144.147 0.544635
154.873 1.32179
163.618 0.736413
174.357 0.484255
184.718 0.596965
198.93 0.847469
211.178 1.0691
219.236 1.45219
229.338 1.18962
238.757 0.593489
250.145 0.968508
259.527 0.956511
270.86 1.0137
280.796 1.38833
291.631 1.22434
308.681 1.41628
320.003 0.500341
331.17 1.44366
340.612 1.4795
349.218 1.38271
357.749 1.01467
366.556 0.435742
380.679 0.092568
386.717 1.21586
392.621 0.815277
399.42 0.590769
412.576 0.465918
428.381 1.28405
438.8 1.30611
449.338 1.52359
460.502 1.36177
470.199 1.46753
477.457 1.04991
484.257 0.787245
499.01 1.33293
507.93 1.29567
517.563 1.22826
528.044 1.16043
538.458 1.18453
546.219 0.5491
554.172 0.940728
562.841 1.05688
571.495 1.02686
583.196 0.682274
598.084 0.758833
608.204 0.995855
617.737 0.112716
623.912 1.07645
632.664 0.934328
679.455 1.32596
684.735 1.06062
694.364 1.19797
703.17 1.36996
715.339 1.12312
732.506 1.3122
742.289 1.54899
756.722 1.55069
766.659 1.10357
780.039 1.22919
791.238 1.54106
801.87 1.67511
813.876 1.65554
825.173 1.8486
837.838 1.65434
856.105 1.8214
867.07 0.903848
877.747 1.34015
885.596 1.20294
894.825 1.18339
907.926 1.64565
922.094 1.56133
933.995 1.5443
943.834 1.37669
956.824 1.41917
969.117 1.22592
980.947 1.26271
992.053 1.21883
1002.65 1.21382
1014.03 1.37393
1028.37 1.06767
1041.65 1.16362
1054.39 0.525296
1067.64 1.27986
1077.83 1.08648
1087.59 1.2806
1101.85 1.49643
1110.82 1.46143
1128.11 1.8013
1139.59 1.15982
1150.82 1.41602
1158.78 1.27397
1171.37 0.868715
1185.31 1.52735
1195.42 0.557899
1206.36 0.902761
1218.64 1.10639
1233.63 1.09073
1245.33 0.812701
1256.57 1.03731
1269.84 1.01914
1281.06 1.47901
1293.26 0.673883
1303.4 0.885595
1313.94 1.29618
1325.27 0.584625
1338.41 0.786294
1347.46 0.909869
1357.28 0.666953
1365.42 0.51238
1374.64 0.658615
1385.02 0.448137
1401.01 0.383433
