time plan_Interval
0.0130506 0.919834
11.0395 1.26437
30.9268 1.0116
46.1697 1.57621
55.7457 1.72601
65.1064 1.71104
73.9882 1.52207
82.1482 1.00052
95.4978 1.29072
107.967 0.704221
120.854 1.52386
129.424 0.809622
144.189 0.597912
154.92 1.37947
163.664 0.793224
174.403 1.17709
184.769 1.615
198.983 1.05838
211.223 2.67803
219.283 1.51081
229.387 1.3419
238.803 0.650368
250.196 1.03003
259.573 1.01245
270.909 1.07341
280.844 1.4733
291.684 1.28778
308.729 1.47461
320.05 0.567652
331.22 1.50505
340.661 1.59063
349.274 1.45276
357.796 1.07192
366.611 0.550005
380.727 0.158514
386.765 1.29162
392.67 0.877122
399.473 0.655343
412.626 0.687652
428.432 1.43684
438.85 1.3672
449.39 1.58737
460.559 1.50747
470.249 1.52765
477.522 1.12509
484.305 0.845875
499.063 1.40099
507.983 1.35955
517.62 1.29641
528.1 1.22811
538.509 1.24693
546.27 0.611419
554.224 1.00317
562.898 1.12476
571.546 1.08788
583.247 0.743729
598.146 0.831187
608.262 1.06384
617.798 0.183842
623.973 1.1489
632.727 1.00967
647.742 4.05994
679.519 1.43875
684.801 1.13707
694.429 1.36629
703.238 1.4496
715.413 1.51156
732.577 1.39332
742.369 1.63918
756.792 1.75338
766.736 1.19213
780.123 1.32402
791.318 1.63165
801.951 1.9713
813.957 1.94162
825.253 1.94314
837.901 1.98354
856.187 1.91493
867.143 1.19319
877.824 1.42773
885.669 1.28599
894.915 1.28472
908.016 1.74613
922.175 1.68852
934.084 1.64494
943.935 1.48826
956.921 1.5295
969.217 1.33777
981.068 1.3938
992.191 1.36795
1002.77 1.42791
1014.15 1.50969
1028.5 1.48022
1041.79 1.31525
1054.53 0.674211
1067.78 1.78584
1077.96 1.22972
1087.71 1.79881
1101.99 1.9036
1110.95 1.90359
1128.24 2.20873
1139.74 1.55196
1150.98 1.87553
1158.94 1.59305
1171.51 1.11103
1185.49 1.71615
1195.56 0.7135
1206.51 1.38634
1218.76 1.59023
1233.8 1.57685
1245.48 1.40119
1256.74 1.39145
1269.99 1.1842
1281.22 1.86028
1293.43 0.849549
1303.56 1.47014
1314.11 1.49552
1325.43 0.758325
1338.58 1.08235
1347.63 1.09399
1357.44 0.955001
1365.6 0.711956
1374.79 0.839654
1385.2 0.859439
1401.19 0.928427
1420.99 8.04548
1538.82 9.22237
1570.14 9.32722
1634.51 10.4148
1651.41 10.2561
1722.35 63.7981
1852.44 121.049
1984.39 121.896
2119.99 125.559
2261 130.956
2394.79 124.143
2527.35 124.928
2659.99 127.501
2804.56 134.513
2947.77 133.165
