time plan_Interval
1.64986 1.64986
6.29991 1.64996
10.9998 1.54993
15.7 1.55014
20.3999 0.700041
25.0499 0.600004
29.75 0.500097
34.35 0.450115
39.0999 0.600074
43.7998 0.750029
48.5998 0.650026
53.2998 0.6
58.0498 0.749987
62.7998 0.650025
67.4998 0.749991
72.1499 0.349891
76.7998 0.650059
81.5498 0.850016
86.2 1.10026
91.0998 1.14997
95.7499 1.19999
102.25 3.15
106.95 0.0999751
111.7 0.149871
116.35 0.200003
121.1 0.299885
125.7 0.349944
130.3 0.249943
134.9 0.0999977
139.65 0.149769
144.25 0.200057
148.85 0.200085
153.5 0.350054
158.15 0.350011
162.85 0.350083
167.5 0.499931
172.15 0.499914
176.75 0.449983
181.4 0.549978
186 0.549988
190.65 0.3501
195.3 0.550116
199.95 0.549966
204.55 0.300092
209.25 0.349991
213.95 0.349932
218.6 0.349762
223.25 0.250074
227.9 1.00012
232.65 0.750156
237.35 0.850102
241.95 0.850001
246.65 0.999764
251.35 0.800089
255.95 0.650039
260.6 0.35006
265.2 0.450011
269.9 0.350078
274.55 0.349832
279.15 0.35005
283.9 0.350022
288.8 0.350015
293.45 0.400061
298.05 0.449955
302.7 0.350066
307.35 0.249989
312 0.350033
316.65 0.399998
321.4 0.500002
326.05 0.599982
330.65 0.549803
335.35 0.600236
340.05 0.450005
344.65 0.299996
349.3 0.249957
354 0.350091
358.7 0.349963
363.3 0.450163
368 0.450101
372.65 0.54999
377.3 0.350037
382.05 0.3502
386.75 0.449942
391.45 0.450008
396.15 0.400072
400.85 0.400043
405.5 0.450015
410.1 0.450101
414.85 0.499781
419.55 0.599998
424.15 0.350101
428.85 0.450061
433.45 0.449936
438.1 0.350039
442.7 0.449993
447.4 0.599916
452.05 0.700059
456.75 0.799955
461.45 0.949905
466.1 0.899991
470.8 1.05009
475.45 0.900099
480.15 1.04997
487.3 3.99986
491.95 1.55007
499.65 4.70009
504.35 0.200007
509.1 0.250032
513.8 0.350007
518.55 0.449768
523.25 0.449912
527.95 0.349956
532.65 0.449932
537.4 0.450014
542.25 0.600085
546.95 0.399993
551.6 0.349988
556.25 0.44988
560.9 0.550041
565.5 0.650174
570.15 0.699891
574.75 0.499973
580.45 1.44993
587.9 3.0502
592.55 0.449914
597.2 0.550053
601.9 0.599964
606.6 0.550013
611.35 0.699988
616 0.750005
620.75 0.799996
625.45 0.549803
630.3 0.75004
634.95 0.750056
639.65 0.900035
644.3 1.09994
649.1 1.30011
657.55 5.2501
662.15 0.149909
666.75 0.250036
671.45 0.349842
676.15 0.500089
681.9 1.70002
686.55 0.3501
691.15 0.350161
695.85 0.499885
700.5 0.250088
705.15 0.250048
709.85 0.349983
714.55 0.500091
719.25 0.599943
726 2.65013
730.7 0.900224
735.45 0.949964
740.15 1.05016
745 1.14996
756.9 8.44992
762.15 6.2001e-05
767.2 5.5351e-05
772.1 5.4602e-05
776.9 0.0501485
781.6 0.0500294
786.3 0.150124
791 0.250065
795.7 0.349906
800.35 0.449984
805.2 0.599782
809.9 0.550049
815.35 1.44994
820.1 0.850184
824.75 0.649982
829.45 0.799829
834.2 0.699997
838.85 0.349888
843.5 0.349994
848.35 0.69997
853.05 0.799888
857.75 0.600038
862.55 0.750016
867.4 0.750091
872.25 0.749994
877 0.84998
881.75 1.04994
886.7 1.2
891.45 1.19985
896.25 0.550012
901 1.14988
905.75 1.14994
910.55 1.5
915.4 1.39987
925.75 7.09981
930.5 0.700173
935.3 0.599982
940.05 0.949978
944.75 0.899912
949.55 0.950002
954.25 0.999949
958.9 0.849935
963.75 1.05019
968.4 1.05001
973.05 0.949844
977.75 1.14978
982.4 1.05005
987.4 1.35002
1004.35 13
1010.9 0.0499466
1017.3 3.1263e-05
1023.6 0.0499489
1029.6 3.1781e-05
1035.65 0.049908
1041.6 5.3501e-05
1047.45 0.0499953
1053.1 5.2329e-05
1058.75 0.0500399
1064.25 5.2993e-05
1069.55 2.9698e-05
1074.85 0.0499737
1080 0.0498611
1085 6.1019e-05
1089.95 0.0498587
1094.7 5.735e-05
1099.35 7.1185e-05
1104 0.150082
1108.7 0.249997
1113.4 0.450014
1118.15 0.500023
1122.85 0.699958
1130.1 3.35009
1134.85 0.650098
1139.6 0.649946
1146.15 2.59994
1151.65 0.0501339
1156.55 0.0500189
1161.4 2.7275e-05
1166.35 0.0500517
1171 0.15001
1176.15 0.249966
1181.3 0.350001
1186 0.499958
1190.65 0.599933
1195.35 0.69998
1200.05 0.800096
1204.8 0.950009
1209.6 0.99997
1214.35 1.15012
1219.25 1.14994
1224.05 1.34999
1229.1 1.70009
1233.85 0.149976
1238.65 0.150058
1243.35 0.250004
1248.1 0.349853
1252.8 0.450007
1257.7 0.599987
1262.4 0.699991
1267.15 0.699912
1271.85 0.8
1276.7 1.05006
1281.45 1.15003
1288.25 3.35011
1293.5 0.049917
1305.7 7.04996
1310.6 0.050135
1315.35 0.0499851
1320.1 0.149985
1324.85 0.250055
1329.5 0.300151
1334.3 0.450031
1339 0.549978
1344.15 1.1001
1348.85 0.699987
1353.55 0.69988
1358.2 0.750027
1362.95 0.949821
1368.4 1.69992
1373.1 1.00004
1377.95 1.25007
1382.7 1.0999
1387.45 1.15011
1392.15 1.25005
1396.85 1.34997
1405.6 5.70029
1410.3 0.24984
1415 0.349896
1419.8 0.449951
1426.9 2.95007
1432.65 3.6596e-05
1438 5.5476e-05
1443.2 5.4004e-05
1448.3 6.2186e-05
1453.25 5.7645e-05
1465.05 6.9
1469.75 0.500082
1475 1.0999
1479.75 0.0999753
1484.5 0.249935
1489.2 0.350077
1494.1 0.450186
1503.9 5.65004
1509.1 3.7366e-05
1514.1 5.5224e-05
1519 0.0499548
1523.75 0.0499651
1528.65 0.0999845
1533.4 0.250015
1538.2 0.399983
1542.9 0.450026
1547.65 0.49999
1552.35 0.550036
1557.15 0.700112
1562.1 1.05002
1566.8 0.900046
1571.5 0.899827
1576.2 1.00003
1580.95 0.800132
1585.65 0.899797
1590.35 1.34996
1595.15 1.45011
1600.4 1.99998
1605.1 0.450245
1609.8 0.449918
1614.85 0.60007
1619.6 0.699946
1624.4 0.650185
1629.1 0.550114
1633.75 0.650068
1638.45 0.700002
1643.2 0.750027
1647.85 0.899982
1652.55 0.950036
1657.25 0.999997
1663.9 3.39994
1669 0.0498437
1673.95 5.8254e-05
1678.8 0.0498892
1683.55 5.4441e-05
1688.3 0.0998045
1693.1 0.249841
1703.5 6.04998
1708.6 0.00015365
1713.6 0.0500402
1718.5 6.281e-05
1723.25 0.0498497
1728.2 0.100036
1732.9 0.24999
1738.15 0.249954
1742.8 0.299988
1747.7 0.499975
1752.35 0.450089
1757.05 0.500089
1761.7 0.550021
1766.45 0.500107
1771.1 0.450118
1775.8 0.449871
1780.7 0.450022
1785.7 0.450009
1791.15 2.24993
