time dist
0.199876 0.00677303
0.349856 0.0137887
0.549844 0.0221121
0.800039 0.0251369
0.999871 0.0291573
1.20004 0.0318588
1.39989 0.035453
1.59985 0.0379827
1.79987 0.0403862
1.99988 0.0413241
2.19986 0.0424325
2.34976 0.0440938
2.59981 0.0467108
2.7998 0.048953
2.99983 0.0503965
3.19977 0.0515327
3.39984 0.0528505
3.60003 0.054868
3.79989 0.0572808
3.99983 0.0602533
4.19986 0.0624351
4.39985 0.0639611
4.64986 0.0662319
4.79983 0.0684266
4.99984 0.0711864
5.19988 0.0882448
5.39987 0.0941469
5.59986 0.0979838
5.79987 0.103104
5.99977 0.112089
6.20006 0.1151
6.39987 0.140641
6.64985 0.196166
6.84982 0.218583
7.04981 0.223105
7.24986 0.224305
7.44984 0.2272
7.64997 0.232321
7.8498 0.241112
8.04985 0.25302
8.24997 0.262022
8.44978 0.2697
8.64987 0.326351
8.84986 0.417458
9.04986 0.56377
9.24985 0.714454
9.44992 0.863112
9.64988 0.997809
9.84994 1.09543
10.0499 1.15354
10.3 1.1687
10.4499 1.18125
10.6999 1.19886
10.8999 1.20659
11.0999 1.21211
11.2498 1.21977
11.4998 1.24733
11.6498 1.2544
11.8499 1.26491
12.0999 1.27198
12.2999 1.3121
12.4999 1.40419
12.6999 1.53712
12.8998 1.67065
13.0998 1.80405
13.2998 1.89446
13.4999 1.9483
13.6998 1.95766
13.9 1.98045
14.0999 2.03715
14.2999 2.11484
14.4998 2.21963
14.7 2.36305
14.8999 2.4906
15.0999 2.60677
15.2999 2.6877
15.5499 2.72845
15.6999 2.73085
15.9498 2.74016
16.0998 2.75137
16.3499 2.76379
16.4998 2.76708
16.75 2.78518
16.9499 2.79642
17.0998 2.80408
17.2999 2.80821
17.5498 2.81542
17.6998 2.83009
17.9498 2.86058
18.1498 2.88262
18.3499 2.8945
18.5499 2.94637
18.7499 3.04767
18.9499 3.18235
19.1499 3.35353
19.3498 3.52424
19.5498 3.66516
19.7498 3.77161
19.95 3.83844
20.1499 3.8621
20.3499 3.86375
20.5499 3.87183
20.7498 3.89251
20.9498 3.92628
21.1499 3.93555
21.3498 3.93927
21.55 3.94675
21.75 3.95198
21.9499 3.96201
22.1498 3.96508
22.3499 3.96641
22.5499 3.97067
22.7998 3.98421
22.95 3.99708
23.1499 4.01147
23.3499 4.02318
23.5499 4.02654
23.7498 4.03892
23.9999 4.05609
24.2 4.08954
24.4499 4.15816
24.5998 4.26333
24.8 4.38388
24.9998 4.49572
25.1998 4.5821
25.4499 4.6359
25.5999 4.66381
25.7999 4.66814
26 4.67046
26.2 4.68206
26.3999 4.69079
26.5998 4.71528
26.7999 4.75698
27.0498 4.81456
27.1998 4.87738
27.3999 4.94169
27.5998 4.99085
27.7999 5.04331
27.9999 5.09357
28.1998 5.13151
28.3999 5.13921
28.5998 5.14127
28.8499 5.14754
28.9999 5.15408
29.2 5.15637
29.4499 5.1582
29.65 5.16018
29.85 5.1642
30.05 5.16598
30.2499 5.1683
30.4498 5.17081
30.6499 5.17442
30.85 5.1763
31.0499 5.17978
31.2499 5.18129
31.4499 5.18366
31.6498 5.18679
31.8499 5.18876
32.0499 5.1913
32.2499 5.1921
32.4499 5.19617
32.65 5.198
32.8498 5.19966
33.0499 5.20164
33.25 5.20369
33.4499 5.20633
33.6499 5.20859
33.85 5.21198
34.05 5.21484
34.2999 5.21703
34.4498 5.21811
34.6499 5.22033
34.8499 5.22157
35.05 5.2225
35.3 5.22458
35.4498 5.22555
35.6999 5.22648
35.8999 5.22794
36.1 5.22984
36.3 5.23138
36.4999 5.23384
36.6499 5.23498
36.8999 5.23548
37.0998 5.2364
37.3 5.23885
37.5 5.23932
37.6998 5.24316
37.8998 5.24467
38.0999 5.2488
38.3498 5.25238
38.4998 5.25413
38.6999 5.25737
38.8998 5.25902
39.1 5.26234
39.2998 5.26357
39.5 5.26543
39.6999 5.26628
39.95 5.26715
40.0999 5.26975
40.3 5.2708
40.5 5.27317
40.7 5.27429
40.8999 5.27561
41.15 5.27718
41.35 5.27939
41.5499 5.28074
41.6998 5.28249
41.8998 5.285
42.0998 5.28694
42.2998 5.28902
42.5498 5.29039
42.7498 5.2914
42.9498 5.29273
43.1498 5.2939
43.3498 5.29468
43.5498 5.29638
43.7498 5.29913
43.9498 5.30066
44.1498 5.30144
44.3498 5.30388
44.6 5.30528
44.7498 5.30612
44.95 5.30773
45.1498 5.30878
45.3498 5.31022
45.5498 5.31193
45.7498 5.31273
45.9498 5.3143
